x,f(x),S1(n=1),S2(n=2),S3(n=3),S4(n=4),S5(n=5),S6(n=6),S7(n=7),f(x)=S1+S2,f(x)=S1+S2+S3,f(x)=S1+...+S5,f(x)=S1+...+S7
4.84,0.00,-0.205332639,0.037031223,-0.013112928,0.005281003,-0.001867672,0.000175644,0.000698936,-0.009323077,0.003789852,0.000376521,-0.000498059
4.86,0.00,-0.203026017,0.035255728,-0.01150961,0.003840974,-0.00060797,-0.000886791,0.001553021,-0.008482456,0.003027154,-0.000205851,-0.00087208
4.88,0.00,-0.200394596,0.033254718,-0.009740752,0.002302827,0.00067597,-0.001898392,0.002286142,-0.007543299,0.002197453,-0.000781344,-0.001169093
4.90,0.00,-0.197442587,0.03104099,-0.007831795,0.000705852,0.001932961,-0.00280117,0.002841198,-0.006514823,0.001316972,-0.001321841,-0.001361869
4.92,0.00,-0.194174712,0.028628706,-0.005810195,-0.000909154,0.003112891,-0.003543373,0.003174955,-0.005407173,0.000403023,-0.001800715,-0.001432297
4.94,0.00,-0.190596199,0.026033296,-0.00370503,-0.002500935,0.00416872,-0.004082456,0.003261417,-0.004231336,-0.000526306,-0.002194092,-0.001373053
4.96,0.00,-0.186712773,0.023271362,-0.001546575,-0.004028828,0.005058356,-0.004387515,0.003093851,-0.002999053,-0.001452477,-0.002482004,-0.00118834
4.98,0.00,-0.182530646,0.02036057,0.000634123,-0.005453804,0.00574633,-0.004441065,0.002685308,-0.001722719,-0.002356842,-0.002649368,-0.000893611
5.00,0.00,-0.178056509,0.017319541,0.002805701,-0.00673946,0.006205217,-0.004240035,0.002067608,-0.000415283,-0.003220984,-0.002686741,-0.000514314
5.02,0.00,-0.173297519,0.014167725,0.004936925,-0.007852953,0.006416721,-0.003795948,0.001288864,0.000909865,-0.00402706,-0.002590828,-8.37433E-05
5.04,0.00,-0.168261291,0.010925284,0.006997143,-0.008765839,0.006372411,-0.003134263,0.000409731,0.002239005,-0.004758138,-0.002364709,0.000359822
5.06,0.00,-0.16295588,0.007612959,0.008956722,-0.009454798,0.006074052,-0.002292909,-0.000501315,0.003558203,-0.005398519,-0.002017773,0.00077645
5.08,0.00,-0.157389774,0.004251937,0.01078748,-0.00990223,0.005533541,-0.001320116,-0.001373314,0.004853436,-0.005934044,-0.001565355,0.001128075
5.10,0.00,-0.151571879,0.000863717,0.012463084,-0.010096706,0.004772425,-0.000271649,-0.002138347,0.006110707,-0.006352377,-0.001028096,0.0013819
